RACE_HISP,SEX,YEAR,births
0,0,2014,3969976
0,0,2015,3998730
0,0,2016,4026991
0,0,2017,4054590
0,0,2018,4080454
0,0,2019,4104391
0,0,2020,4125307
0,0,2021,4142003
0,0,2022,4154928
0,0,2023,4165241
0,0,2024,4173885
0,0,2025,4181208
0,0,2026,4187178
0,0,2027,4191413
0,0,2028,4194135
0,0,2029,4196175
0,0,2030,4198020
0,0,2031,4199971
0,0,2032,4202687
0,0,2033,4206587
0,0,2034,4211929
0,0,2035,4218713
0,0,2036,4226595
0,0,2037,4235324
0,0,2038,4244776
0,0,2039,4255017
0,0,2040,4266000
0,0,2041,4277676
0,0,2042,4290171
0,0,2043,4303391
0,0,2044,4317274
0,0,2045,4331771
0,0,2046,4346651
0,0,2047,4361702
0,0,2048,4376701
0,0,2049,4391465
0,0,2050,4405894
0,0,2051,4419882
0,0,2052,4433292
0,0,2053,4446041
0,0,2054,4458114
0,0,2055,4469519
0,0,2056,4480293
0,0,2057,4490508
0,0,2058,4500267
0,0,2059,4509700
0,0,2060,4518941
0,1,2014,2031663
0,1,2015,2046359
0,1,2016,2060804
0,1,2017,2074905
0,1,2018,2088124
0,1,2019,2100350
0,1,2020,2111035
0,1,2021,2119552
0,1,2022,2126157
0,1,2023,2131413
0,1,2024,2135813
0,1,2025,2139547
0,1,2026,2142578
0,1,2027,2144725
0,1,2028,2146098
0,1,2029,2147127
0,1,2030,2148055
0,1,2031,2149039
0,1,2032,2150413
0,1,2033,2152392
0,1,2034,2155113
0,1,2035,2158569
0,1,2036,2162591
0,1,2037,2167047
0,1,2038,2171871
0,1,2039,2177098
0,1,2040,2182709
0,1,2041,2188669
0,1,2042,2195053
0,1,2043,2201808
0,1,2044,2208902
0,1,2045,2216314
0,1,2046,2223912
0,1,2047,2231601
0,1,2048,2239267
0,1,2049,2246807
0,1,2050,2254176
0,1,2051,2261321
0,1,2052,2268169
0,1,2053,2274674
0,1,2054,2280834
0,1,2055,2286656
0,1,2056,2292148
0,1,2057,2297357
0,1,2058,2302331
0,1,2059,2307139
0,1,2060,2311851
0,2,2014,1938313
0,2,2015,1952371
0,2,2016,1966187
0,2,2017,1979685
0,2,2018,1992330
0,2,2019,2004041
0,2,2020,2014272
0,2,2021,2022451
0,2,2022,2028771
0,2,2023,2033828
0,2,2024,2038072
0,2,2025,2041661
0,2,2026,2044600
0,2,2027,2046688
0,2,2028,2048037
0,2,2029,2049048
0,2,2030,2049965
0,2,2031,2050932
0,2,2032,2052274
0,2,2033,2054195
0,2,2034,2056816
0,2,2035,2060144
0,2,2036,2064004
0,2,2037,2068277
0,2,2038,2072905
0,2,2039,2077919
0,2,2040,2083291
0,2,2041,2089007
0,2,2042,2095118
0,2,2043,2101583
0,2,2044,2108372
0,2,2045,2115457
0,2,2046,2122739
0,2,2047,2130101
0,2,2048,2137434
0,2,2049,2144658
0,2,2050,2151718
0,2,2051,2158561
0,2,2052,2165123
0,2,2053,2171367
0,2,2054,2177280
0,2,2055,2182863
0,2,2056,2188145
0,2,2057,2193151
0,2,2058,2197936
0,2,2059,2202561
0,2,2060,2207090
1,0,2014,2855853
1,0,2015,2866920
1,0,2016,2877618
1,0,2017,2887717
1,0,2018,2896530
1,0,2019,2903974
1,0,2020,2909378
1,0,2021,2911898
1,0,2022,2911956
1,0,2023,2910337
1,0,2024,2907651
1,0,2025,2904151
1,0,2026,2899764
1,0,2027,2894250
1,0,2028,2887821
1,0,2029,2881101
1,0,2030,2874383
1,0,2031,2867758
1,0,2032,2861549
1,0,2033,2856018
1,0,2034,2851268
1,0,2035,2847209
1,0,2036,2843652
1,0,2037,2840443
1,0,2038,2837558
1,0,2039,2835108
1,0,2040,2833108
1,0,2041,2831522
1,0,2042,2830455
1,0,2043,2829880
1,0,2044,2829714
1,0,2045,2829885
1,0,2046,2830252
1,0,2047,2830666
1,0,2048,2830983
1,0,2049,2831073
1,0,2050,2830865
1,0,2051,2830272
1,0,2052,2829194
1,0,2053,2827584
1,0,2054,2825438
1,0,2055,2822743
1,0,2056,2819528
1,0,2057,2815844
1,0,2058,2811763
1,0,2059,2807358
1,0,2060,2802715
1,1,2014,1462615
1,1,2015,1468264
1,1,2016,1473721
1,1,2017,1478869
1,1,2018,1483358
1,1,2019,1487142
1,1,2020,1489881
1,1,2021,1491141
1,1,2022,1491139
1,1,2023,1490276
1,1,2024,1488866
1,1,2025,1487039
1,1,2026,1484755
1,1,2027,1481895
1,1,2028,1478565
1,1,2029,1475087
1,1,2030,1471611
1,1,2031,1468184
1,1,2032,1464970
1,1,2033,1462105
1,1,2034,1459641
1,1,2035,1457533
1,1,2036,1455684
1,1,2037,1454013
1,1,2038,1452510
1,1,2039,1451231
1,1,2040,1450184
1,1,2041,1449350
1,1,2042,1448782
1,1,2043,1448466
1,1,2044,1448361
1,1,2045,1448427
1,1,2046,1448594
1,1,2047,1448784
1,1,2048,1448925
1,1,2049,1448947
1,1,2050,1448816
1,1,2051,1448488
1,1,2052,1447911
1,1,2053,1447060
1,1,2054,1445933
1,1,2055,1444527
1,1,2056,1442852
1,1,2057,1440938
1,1,2058,1438821
1,1,2059,1436538
1,1,2060,1434134
1,2,2014,1393238
1,2,2015,1398656
1,2,2016,1403897
1,2,2017,1408848
1,2,2018,1413172
1,2,2019,1416832
1,2,2020,1419497
1,2,2021,1420757
1,2,2022,1420817
1,2,2023,1420061
1,2,2024,1418785
1,2,2025,1417112
1,2,2026,1415009
1,2,2027,1412355
1,2,2028,1409256
1,2,2029,1406014
1,2,2030,1402772
1,2,2031,1399574
1,2,2032,1396579
1,2,2033,1393913
1,2,2034,1391627
1,2,2035,1389676
1,2,2036,1387968
1,2,2037,1386430
1,2,2038,1385048
1,2,2039,1383877
1,2,2040,1382924
1,2,2041,1382172
1,2,2042,1381673
1,2,2043,1381414
1,2,2044,1381353
1,2,2045,1381458
1,2,2046,1381658
1,2,2047,1381882
1,2,2048,1382058
1,2,2049,1382126
1,2,2050,1382049
1,2,2051,1381784
1,2,2052,1381283
1,2,2053,1380524
1,2,2054,1379505
1,2,2055,1378216
1,2,2056,1376676
1,2,2057,1374906
1,2,2058,1372942
1,2,2059,1370820
1,2,2060,1368581
2,0,2014,589006
2,0,2015,595653
2,0,2016,602016
2,0,2017,608174
2,0,2018,613995
2,0,2019,619302
2,0,2020,623746
2,0,2021,627007
2,0,2022,629149
2,0,2023,630464
2,0,2024,631241
2,0,2025,631613
2,0,2026,631645
2,0,2027,631286
2,0,2028,630535
2,0,2029,629513
2,0,2030,628347
2,0,2031,627176
2,0,2032,626175
2,0,2033,625471
2,0,2034,625174
2,0,2035,625387
2,0,2036,626119
2,0,2037,627305
2,0,2038,628823
2,0,2039,630610
2,0,2040,632649
2,0,2041,634891
2,0,2042,637309
2,0,2043,639865
2,0,2044,642554
2,0,2045,645381
2,0,2046,648313
2,0,2047,651303
2,0,2048,654272
2,0,2049,657185
2,0,2050,660049
2,0,2051,662854
2,0,2052,665579
2,0,2053,668195
2,0,2054,670694
2,0,2055,673104
2,0,2056,675433
2,0,2057,677683
2,0,2058,679876
2,0,2059,682048
2,0,2060,684230
2,1,2014,299532
2,1,2015,302912
2,1,2016,306147
2,1,2017,309280
2,1,2018,312240
2,1,2019,314939
2,1,2020,317199
2,1,2021,318858
2,1,2022,319948
2,1,2023,320617
2,1,2024,321013
2,1,2025,321204
2,1,2026,321221
2,1,2027,321040
2,1,2028,320659
2,1,2029,320141
2,1,2030,319550
2,1,2031,318955
2,1,2032,318449
2,1,2033,318092
2,1,2034,317943
2,1,2035,318052
2,1,2036,318425
2,1,2037,319031
2,1,2038,319803
2,1,2039,320714
2,1,2040,321751
2,1,2041,322892
2,1,2042,324122
2,1,2043,325423
2,1,2044,326791
2,1,2045,328229
2,1,2046,329721
2,1,2047,331241
2,1,2048,332751
2,1,2049,334234
2,1,2050,335690
2,1,2051,337117
2,1,2052,338504
2,1,2053,339835
2,1,2054,341106
2,1,2055,342332
2,1,2056,343518
2,1,2057,344662
2,1,2058,345779
2,1,2059,346884
2,1,2060,347995
2,2,2014,289474
2,2,2015,292741
2,2,2016,295869
2,2,2017,298894
2,2,2018,301755
2,2,2019,304363
2,2,2020,306547
2,2,2021,308149
2,2,2022,309201
2,2,2023,309847
2,2,2024,310228
2,2,2025,310409
2,2,2026,310424
2,2,2027,310246
2,2,2028,309876
2,2,2029,309372
2,2,2030,308797
2,2,2031,308221
2,2,2032,307726
2,2,2033,307379
2,2,2034,307231
2,2,2035,307335
2,2,2036,307694
2,2,2037,308274
2,2,2038,309020
2,2,2039,309896
2,2,2040,310898
2,2,2041,311999
2,2,2042,313187
2,2,2043,314442
2,2,2044,315763
2,2,2045,317152
2,2,2046,318592
2,2,2047,320062
2,2,2048,321521
2,2,2049,322951
2,2,2050,324359
2,2,2051,325737
2,2,2052,327075
2,2,2053,328360
2,2,2054,329588
2,2,2055,330772
2,2,2056,331915
2,2,2057,333021
2,2,2058,334097
2,2,2059,335164
2,2,2060,336235
3,0,2014,58691
3,0,2015,59226
3,0,2016,59748
3,0,2017,60275
3,0,2018,60788
3,0,2019,61281
3,0,2020,61719
3,0,2021,62081
3,0,2022,62390
3,0,2023,62666
3,0,2024,62902
3,0,2025,63099
3,0,2026,63252
3,0,2027,63352
3,0,2028,63403
3,0,2029,63425
3,0,2030,63433
3,0,2031,63418
3,0,2032,63385
3,0,2033,63309
3,0,2034,63208
3,0,2035,63112
3,0,2036,63021
3,0,2037,62936
3,0,2038,62847
3,0,2039,62745
3,0,2040,62625
3,0,2041,62496
3,0,2042,62367
3,0,2043,62228
3,0,2044,62092
3,0,2045,61971
3,0,2046,61869
3,0,2047,61792
3,0,2048,61733
3,0,2049,61688
3,0,2050,61667
3,0,2051,61667
3,0,2052,61687
3,0,2053,61716
3,0,2054,61745
3,0,2055,61779
3,0,2056,61813
3,0,2057,61838
3,0,2058,61852
3,0,2059,61855
3,0,2060,61845
3,1,2014,29886
3,1,2015,30157
3,1,2016,30424
3,1,2017,30691
3,1,2018,30952
3,1,2019,31204
3,1,2020,31427
3,1,2021,31611
3,1,2022,31769
3,1,2023,31910
3,1,2024,32030
3,1,2025,32130
3,1,2026,32209
3,1,2027,32260
3,1,2028,32286
3,1,2029,32298
3,1,2030,32303
3,1,2031,32296
3,1,2032,32279
3,1,2033,32240
3,1,2034,32189
3,1,2035,32141
3,1,2036,32096
3,1,2037,32052
3,1,2038,32007
3,1,2039,31956
3,1,2040,31894
3,1,2041,31830
3,1,2042,31764
3,1,2043,31694
3,1,2044,31624
3,1,2045,31563
3,1,2046,31511
3,1,2047,31472
3,1,2048,31442
3,1,2049,31420
3,1,2050,31408
3,1,2051,31409
3,1,2052,31419
3,1,2053,31434
3,1,2054,31450
3,1,2055,31467
3,1,2056,31485
3,1,2057,31498
3,1,2058,31505
3,1,2059,31507
3,1,2060,31502
3,2,2014,28805
3,2,2015,29069
3,2,2016,29324
3,2,2017,29584
3,2,2018,29836
3,2,2019,30077
3,2,2020,30292
3,2,2021,30470
3,2,2022,30621
3,2,2023,30756
3,2,2024,30872
3,2,2025,30969
3,2,2026,31043
3,2,2027,31092
3,2,2028,31117
3,2,2029,31127
3,2,2030,31130
3,2,2031,31122
3,2,2032,31106
3,2,2033,31069
3,2,2034,31019
3,2,2035,30971
3,2,2036,30925
3,2,2037,30884
3,2,2038,30840
3,2,2039,30789
3,2,2040,30731
3,2,2041,30666
3,2,2042,30603
3,2,2043,30534
3,2,2044,30468
3,2,2045,30408
3,2,2046,30358
3,2,2047,30320
3,2,2048,30291
3,2,2049,30268
3,2,2050,30259
3,2,2051,30258
3,2,2052,30268
3,2,2053,30282
3,2,2054,30295
3,2,2055,30312
3,2,2056,30328
3,2,2057,30340
3,2,2058,30347
3,2,2059,30348
3,2,2060,30343
4,0,2014,198921
4,0,2015,203383
4,0,2016,207858
4,0,2017,212331
4,0,2018,216648
4,0,2019,220866
4,0,2020,225013
4,0,2021,229123
4,0,2022,233130
4,0,2023,237033
4,0,2024,240849
4,0,2025,244566
4,0,2026,248190
4,0,2027,251706
4,0,2028,255158
4,0,2029,258590
4,0,2030,262012
4,0,2031,265415
4,0,2032,268849
4,0,2033,272264
4,0,2034,275695
4,0,2035,279168
4,0,2036,282581
4,0,2037,285957
4,0,2038,289312
4,0,2039,292644
4,0,2040,295930
4,0,2041,299209
4,0,2042,302518
4,0,2043,305842
4,0,2044,309219
4,0,2045,312674
4,0,2046,316175
4,0,2047,319713
4,0,2048,323303
4,0,2049,326924
4,0,2050,330544
4,0,2051,334163
4,0,2052,337765
4,0,2053,341332
4,0,2054,344865
4,0,2055,348355
4,0,2056,351800
4,0,2057,355197
4,0,2058,358544
4,0,2059,361850
4,0,2060,365116
4,1,2014,102572
4,1,2015,104873
4,1,2016,107181
4,1,2017,109488
4,1,2018,111715
4,1,2019,113890
4,1,2020,116030
4,1,2021,118149
4,1,2022,120216
4,1,2023,122228
4,1,2024,124196
4,1,2025,126113
4,1,2026,127982
4,1,2027,129795
4,1,2028,131575
4,1,2029,133345
4,1,2030,135110
4,1,2031,136864
4,1,2032,138634
4,1,2033,140395
4,1,2034,142165
4,1,2035,143955
4,1,2036,145715
4,1,2037,147456
4,1,2038,149186
4,1,2039,150904
4,1,2040,152598
4,1,2041,154289
4,1,2042,155995
4,1,2043,157710
4,1,2044,159451
4,1,2045,161233
4,1,2046,163038
4,1,2047,164864
4,1,2048,166715
4,1,2049,168583
4,1,2050,170451
4,1,2051,172317
4,1,2052,174175
4,1,2053,176014
4,1,2054,177836
4,1,2055,179635
4,1,2056,181412
4,1,2057,183164
4,1,2058,184889
4,1,2059,186594
4,1,2060,188278
4,2,2014,96349
4,2,2015,98510
4,2,2016,100677
4,2,2017,102843
4,2,2018,104933
4,2,2019,106976
4,2,2020,108983
4,2,2021,110974
4,2,2022,112914
4,2,2023,114805
4,2,2024,116653
4,2,2025,118453
4,2,2026,120208
4,2,2027,121911
4,2,2028,123583
4,2,2029,125245
4,2,2030,126902
4,2,2031,128551
4,2,2032,130215
4,2,2033,131869
4,2,2034,133530
4,2,2035,135213
4,2,2036,136866
4,2,2037,138501
4,2,2038,140126
4,2,2039,141740
4,2,2040,143332
4,2,2041,144920
4,2,2042,146523
4,2,2043,148132
4,2,2044,149768
4,2,2045,151441
4,2,2046,153137
4,2,2047,154849
4,2,2048,156588
4,2,2049,158341
4,2,2050,160093
4,2,2051,161846
4,2,2052,163590
4,2,2053,165318
4,2,2054,167029
4,2,2055,168720
